,full_name,short_name,full_question
1,SECTION_META.metadata.interviewername,interviewername,Interviewer.s.name
2,SECTION_META.metadata.start_time_user,start_time_user,Time.at.beginning.of.survey
3,SECTION_META.metadata.deviceid,deviceid,deviceid
4,SECTION_META.metadata.starttime_auto,starttime_auto,starttime_auto
5,SECTION_META.metadata.starttime_calculated,starttime_calculated,starttime_calculated
6,SECTION_META.Location.country,country,Country.name
7,SECTION_META.Location.local_currency,local_currency,Local.currency.
8,SECTION_META.Location.region,region,Region.name.
9,SECTION_META.sublocation,sublocation,Wareda.name.
10,SECTION_META.kebele,kebele,Kebele.name.
11,SECTION_META.participation,participation,We.would.like.to.ask.you.some.questions.about.your.farm..your.household..and.also.about.foods.that.you.eat..It.will.take.about.one.hour..I.hope.the.questions.are.not.too.personal...everybody.is.asked.the.same.questions..We.are.from.the.project.called.Africa.Rising..which.has.been.working.in.this.Kebele.for.nearly.five.years.now..We.want.to.increase.the.amount.of.foods.people.produce.on.the.farms.and.incomes.you.can.generate.from.agriculture..We.will.use.the.information.you.give.us.to.make.our.project.more.successful..We.won.t.share.any.personal.details.like.your.name.or.location.with.anybody.else..Do.you.consent.to.provide.information.for.this.survey.
12,survey_grp.householdID,householdID,Household.head.name.
13,survey_grp.householdID_other,householdID_other,Type.household.head.name.
14,survey_grp.village,village,What.is.the.name.of.the.village.where.you.live.
15,survey_grp.SECTION_HOUSEHOLD_INFO.RespondentDetails.respondent_is_head,respondent_is_head,Is.the.respondent.the.head.of.the.household.
16,survey_grp.SECTION_HOUSEHOLD_INFO.RespondentDetails.respondentname,respondentname,What.is.the.respondent.s.name.
17,survey_grp.SECTION_HOUSEHOLD_INFO.RespondentDetails.respondentsex,respondentsex,Is.the.respondent.male.or.female.
18,survey_grp.SECTION_HOUSEHOLD_INFO.household_config.household_position,household_position,How.are.you.related.to.the.head.
19,survey_grp.SECTION_HOUSEHOLD_INFO.household_config.household_type,household_type,Is.the.head.person.married..or.has.a.partner..
20,survey_grp.SECTION_HOUSEHOLD_INFO.household_config.work_away,work_away,Does.the.head.person.often.live.and.work.away.from.home.
21,survey_grp.SECTION_HOUSEHOLD_INFO.count_people,count_people,How.many.people.live.in.your.household.
22,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat_count,hh_pop_repeat_count,hh_pop_repeat_count
23,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.1..hh_pop_rep_num,hh_pop_rep_num_1,hh_pop_rep_num
24,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.1..hh_pop_repeat_grp.person_gender,person_gender_1,Gender.
25,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.1..hh_pop_repeat_grp.person_age,person_age_1,Age.in.years.
26,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.1..hh_pop_repeat_grp.head_person,head_person_1,Is.head.of.household.
27,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.1..hh_pop_repeat_grp.person_location,person_location_1,Living.at.home.or.away.migrated.
28,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.2..hh_pop_rep_num,hh_pop_rep_num_2,hh_pop_rep_num.1
29,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.2..hh_pop_repeat_grp.person_gender,person_gender_2,Gender..1
30,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.2..hh_pop_repeat_grp.person_age,person_age_2,Age.in.years..1
31,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.2..hh_pop_repeat_grp.head_person,head_person_2,Is.head.of.household..1
32,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.2..hh_pop_repeat_grp.person_location,person_location_2,Living.at.home.or.away.migrated..1
33,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.3..hh_pop_rep_num,hh_pop_rep_num_3,hh_pop_rep_num.2
34,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.3..hh_pop_repeat_grp.person_gender,person_gender_3,Gender..2
35,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.3..hh_pop_repeat_grp.person_age,person_age_3,Age.in.years..2
36,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.3..hh_pop_repeat_grp.head_person,head_person_3,Is.head.of.household..2
37,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.3..hh_pop_repeat_grp.person_location,person_location_3,Living.at.home.or.away.migrated..2
38,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.4..hh_pop_rep_num,hh_pop_rep_num_4,hh_pop_rep_num.3
